Timestamp,1. What time do you usually wake up on  weekdays?,2. What time do you usually go to bed on weekdays?,3. When do you feel most productive during the day?,4. How many cups of coffee do you drink per day?,5. Which of the following best describes your overall productivity pattern?
3/21/2026 14:17,6:00 AM - 8:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/21/2026 16:53,Before 6:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),1,I am a night person
3/21/2026 16:54,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),2,I am both
3/21/2026 16:54,After 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),2,I am a night person
3/21/2026 17:01,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),1,I am a night person
3/21/2026 17:09,6:00 AM - 8:00 AM,After 12:00 AM,Morning (6 AM - 12 AM),2,I am both
3/21/2026 17:16,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),1,I am a night person
3/21/2026 17:20,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),2,I am a morning person
3/21/2026 17:22,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/21/2026 17:32,After 10:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),1,I am a night person
3/21/2026 17:41,8:00 AM - 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),2,I am a night person
3/21/2026 18:17,After 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),4,I am a night person
3/21/2026 20:42,6:00 AM - 8:00 AM,Before 10:00 PM,Night (9 PM - 12 PM),2,I am a morning person
3/21/2026 21:02,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),2,I am a morning person
3/21/2026 21:04,Before 6:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),2,I am a night person
3/21/2026 21:08,After 10:00 AM,10:00 PM - 12:00 AM,Afternoon (12 PM - 6 PM),3,I am a night person
3/21/2026 21:11,Before 6:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),2,I am a morning person
3/21/2026 21:11,6:00 AM - 8:00 AM,After 12:00 AM,Morning (6 AM - 12 AM),2,I am a morning person
3/21/2026 21:11,6:00 AM - 8:00 AM,Before 10:00 PM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/21/2026 21:12,After 10:00 AM,10:00 PM - 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a night person
3/21/2026 21:13,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),1,I am a night person
3/21/2026 21:14,Before 6:00 AM,10:00 PM - 12:00 AM,Morning (6 AM - 12 AM),3,I am both
3/21/2026 21:15,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Morning (6 AM - 12 AM),1,I am both
3/21/2026 21:15,After 10:00 AM,Before 10:00 PM,Night (9 PM - 12 PM),3,I am a night person
3/21/2026 21:16,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/21/2026 21:22,After 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),0,I am a night person
3/21/2026 21:27,Before 6:00 AM,After 12:00 AM,Evening (6 PM - 9 PM),1,I am a morning person
3/21/2026 21:34,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),2,I am a night person
3/21/2026 21:51,After 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),0,I am a night person
3/21/2026 21:52,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/21/2026 22:00,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),2,I am a night person
3/21/2026 22:02,Before 6:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/21/2026 22:03,After 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),2,I am a night person
3/21/2026 22:08,After 10:00 AM,Before 10:00 PM,Night (9 PM - 12 PM),0,I am a night person
3/21/2026 22:28,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),1,I am a night person
3/21/2026 22:30,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),2,I am a night person
3/21/2026 22:40,After 10:00 AM,Before 10:00 PM,Night (9 PM - 12 PM),2,I am a night person
3/21/2026 23:09,8:00 AM - 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),2,I am a night person
3/21/2026 23:27,8:00 AM - 10:00 AM,Before 10:00 PM,Afternoon (12 PM - 6 PM),3,I am a night person
3/21/2026 23:53,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a night person
3/21/2026 23:55,6:00 AM - 8:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),0,I am a morning person
3/22/2026 0:04,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),1,I am a night person
3/22/2026 0:32,6:00 AM - 8:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),1,I am a morning person
3/22/2026 6:32,6:00 AM - 8:00 AM,Before 10:00 PM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/22/2026 7:52,6:00 AM - 8:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/22/2026 8:16,After 10:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),3,I am a night person
3/22/2026 10:13,6:00 AM - 8:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/22/2026 10:31,After 10:00 AM,After 12:00 AM,Morning (6 AM - 12 AM),3,I am both
3/22/2026 11:15,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),2,I am a night person
3/22/2026 11:16,Before 6:00 AM,After 12:00 AM,Evening (6 PM - 9 PM),3,I am both
3/22/2026 11:37,6:00 AM - 8:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),1,I am a night person
3/22/2026 13:23,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),3,I am a night person
